xuhao   VARCHAR(50),gongsi VARCHAR(50),diqu VARCHAR(50),shuzi1 INT,shuzi2 INT,shuzi3 INT,shuzi4 INT,riqi TIMESTAMP,flag CHAR,url  VARCHAR(5000)
1286484024,奇参行,"山东 青岛",882,1637,3915,438,"2011-05-17 14:31:04",f,"1、崂山刺参 1690元/斤 2、长岛刺参 2990元/斤 3、极地海参 330元/斤 淘宝：http://sdybest999.taobao.com"
2833597627,北京福禄祯祥公司,"北京 朝阳区",34,205,18,0,"2012-08-17 20:17:11",t,"北京福祯祥红木家具保养维修服务中心   北京祯福祥书画艺术中心 北京福禄祯祥民族文化发展有限公司 北京福禄祯祥民族..."
1421168512,猫头鹰的鱼化龙,"北京 丰台区",2,12,245,0,"2011-12-21 09:42:14",f,"不断上当，不断学习。。no pain ,no gain。。。"
1649829121,中国古典家具网,"广东 中山",1970,892,1484,1,"2011-06-16 11:14:21",t,"中国古典家具网是一个古典家具商务信息平台，致力于建立一个中国古典家具供应商与采购商信息交流与信息共享利用的互动平台,汇集了各地古典家具生..."
2577478730,小狼牙儿,"山东 威海",376,1091,1678,4968,"2011-12-01 19:58:27",f,"公益服务,股期市场,收藏活动,体育活动."
2262339753,茶香花琴书,其他,196,611,251,12,"2012-05-19 20:55:32",f,"生意是学出来的，本领是做出来的，要诚实，有志 气"
1292561167,董-不懂,"北京 海淀区",50,161,88,2,"2011-07-22 13:11:35",f,
3135878331,取业,"云南 文山",3,67,0,0,"2012-11-19 16:53:23",f,
1254453113,Ax_安康,"广西 南宁",164,303,0,78,"2011-07-10 14:29:18",f,脚踏实地，腰腿有力，三头六臂，眼神犀利
2369353301,卡布基诺海钓翁,"海南 其他",135,355,111,174,"2011-09-19 21:31:42",f,
1872533253,剩斗士li,"河南 新乡",40,31,113,4,"2011-10-12 19:35:14",f,菩提本无树，明镜亦非台。本来无一物，何处惹尘埃。
2687365353,旅游幻想家,"福建 莆田",43,64,60,0,"2012-03-30 10:50:56",f,
2216349670,Robertzuo,"浙江 杭州",5,68,1,0,"2011-07-05 13:21:26",f,
2902868014,出售国际黄花梨域名_huanghuali,"海外 新加坡",27,137,3,0,"2012-08-06 23:23:09",f,"tom.com 以USD$2.5m成交， casino.com 以USD$7.5m成交， huanghuali.com 值多少？"
2801081727,森光扭矩,"河北 保定",9,32,2,0,"2012-07-20 11:09:21",f,
1874895133,摩耶工舍,北京,1447,1938,290,27,"2010-11-26 00:33:33",f,我有一个愿望…
1235527172,竹之霖,"河北 沧州",215,521,398,9,"2012-04-12 16:40:47",f,能闲世人之所忙着，方能忙世人之所闲。
1801590090,啊凡文,"广东 中山",303,758,481,197,"2010-08-27 11:58:15",f,身体健康最重要
2020718657,NothingMING,"北京 朝阳区",200,535,312,2,"2011-03-12 12:57:47",f,
1907667715,0033零零散散,"浙江 宁波",1150,1611,2889,24,"2010-12-31 14:18:42",f,地址：银星苑小区门口
1052001641,Perry黄,"福建 厦门",665,471,948,6,"2010-07-29 20:40:14",f,
